Date,Close,High,Low,Open,Volume
25/01/22,4078.26001,4112.25,4039.52002,4078.810059,33488900
26/01/22,4164.600098,4188.169922,4096.509766,4096.509766,36434800
27/01/22,4184.970215,4204.859863,4088.909912,4144.779785,42382400
28/01/22,4136.910156,4181.22998,4071.709961,4174.569824,35332400
31/01/22,4174.600098,4200.830078,4134.069824,4161.77002,39621200
1/02/22,4224.450195,4232.439941,4184.629883,4184.629883,33003900
2/02/22,4222.049805,4259.279785,4222.049805,4242.740234,37636600
3/02/22,4141.02002,4215.410156,4141.02002,4215.410156,47345600
4/02/22,4086.580078,4167.870117,4067.51001,4154.75,47412800
7/02/22,4120.560059,4131.839844,4074.860107,4101.890137,38510200
8/02/22,4129.25,4156.169922,4103.629883,4117.209961,39831700
9/02/22,4204.089844,4208.759766,4140.410156,4140.410156,45881400
10/02/22,4197.069824,4239.609863,4169.839844,4208.200195,46945200
11/02/22,4155.22998,4177.910156,4133.350098,4170.72998,39788800
14/02/22,4064.449951,4125.310059,4002.909912,4125.310059,53341700
15/02/22,4143.709961,4143.709961,4043.570068,4059.25,38905400
16/02/22,4137.220215,4180.319824,4117.169922,4149.560059,31014500
17/02/22,4113.189941,4158.439941,4092.790039,4139.879883,32105300
18/02/22,4074.280029,4128.72998,4054.719971,4107.720215,32432200
21/02/22,3985.709961,4104.629883,3957.199951,4090.709961,29685200
22/02/22,3985.469971,4016.459961,3894.98999,3960.199951,43502500
23/02/22,3973.409912,4054.169922,3962.790039,3991.659912,32529000
24/02/22,3829.290039,3939.51001,3765.419922,3939.51001,88823100
25/02/22,3970.689941,3970.830078,3829.280029,3836.850098,66184900
28/02/22,3924.22998,3940.98999,3825.080078,3940.98999,77052100
1/03/22,3765.850098,3923.75,3765.850098,3920.030029,71926900
2/03/22,3820.590088,3849.719971,3720.719971,3755.27002,67451800
3/03/22,3741.780029,3841.919922,3731.350098,3819.139893,50887800
4/03/22,3556.01001,3723.969971,3556.01001,3723.969971,74416700
7/03/22,3512.219971,3599.929932,3387,3529.570068,82263800
8/03/22,3505.290039,3610.949951,3469.199951,3489.159912,71843700
9/03/22,3766.02002,3766.02002,3548.48999,3548.48999,75625000
10/03/22,3651.389893,3764.639893,3627.129883,3764.639893,61005800
11/03/22,3686.780029,3801.47998,3630.280029,3657.370117,56506500
14/03/22,3741.100098,3789.580078,3694.76001,3694.76001,41810600
15/03/22,3738.110107,3753.26001,3641.5,3723.22998,43611100
16/03/22,3889.689941,3929.959961,3766.790039,3766.790039,64059900
17/03/22,3885.320068,3913.719971,3843.100098,3901.699951,47894200
18/03/22,3902.439941,3902.439941,3824.02002,3886.48999,63142100
21/03/22,3881.800049,3914.080078,3877.590088,3900.840088,30428700
22/03/22,3926.120117,3935.449951,3886.26001,3886.26001,32175200
23/03/22,3869.219971,3937.810059,3853.540039,3934.129883,34113400
24/03/22,3863.389893,3892.909912,3845.439941,3874.320068,31635100
25/03/22,3867.72998,3903.939941,3853.350098,3871.340088,28929500
28/03/22,3887.100098,3946.780029,3870.330078,3870.330078,33829800
29/03/22,4002.179932,4024.889893,3906.469971,3906.469971,50862600
30/03/22,3959.139893,3997.459961,3942.810059,3997.459961,34135500
31/03/22,3902.52002,3979.699951,3902.52002,3964.01001,35964000
1/04/22,3918.679932,3935.72998,3895.699951,3906.570068,28145300
4/04/22,3951.120117,3956.590088,3891,3925.27002,26730400
5/04/22,3917.850098,3969.040039,3896.620117,3952.580078,33315200
6/04/22,3824.689941,3915.530029,3792.560059,3915.530029,46123100
7/04/22,3802.01001,3874.290039,3797.600098,3836.459961,34691100
8/04/22,3858.370117,3872.590088,3812.080078,3812.080078,32208000
11/04/22,3839.620117,3870.060059,3813.159912,3845.699951,28850700
12/04/22,3831.469971,3853.22998,3763.320068,3818.76001,33593000
13/04/22,3827.959961,3833.97998,3788.870117,3827.469971,27163700
14/04/22,3848.679932,3859.590088,3823.850098,3834.330078,31407300
19/04/22,3830.76001,3848.629883,3793.469971,3842.070068,27117700
20/04/22,3896.810059,3905.75,3833.459961,3835.159912,33043600
21/04/22,3928.030029,3954.300049,3897.459961,3901.330078,28253800
22/04/22,3840.01001,3905.800049,3838.189941,3905.800049,36305200
25/04/22,3757.590088,3826.959961,3739.669922,3826.959961,34942000
26/04/22,3721.360107,3804.959961,3717.97998,3769.659912,43591400
27/04/22,3734.639893,3748.969971,3675.540039,3719.350098,44556600
28/04/22,3777.02002,3809.23999,3731.949951,3750.209961,34553600
29/04/22,3802.860107,3833.889893,3785.580078,3785.580078,35628500
2/05/22,3732.439941,3772.909912,3692.820068,3772.909912,29907400
3/05/22,3761.189941,3773.300049,3727.52002,3738.48999,31995200
4/05/22,3724.98999,3767.659912,3724.949951,3758.439941,26726600
5/05/22,3696.629883,3814.110107,3684.449951,3744.909912,41075500
6/05/22,3629.169922,3678.850098,3602.77002,3678.850098,47206400
9/05/22,3526.860107,3628.25,3526.860107,3618.449951,34328300
10/05/22,3554.800049,3611.080078,3537.659912,3537.659912,36975300
11/05/22,3647.870117,3647.870117,3553.719971,3575.159912,40397400
12/05/22,3613.429932,3637.620117,3544.560059,3617.709961,37608100
13/05/22,3703.419922,3703.419922,3628.25,3628.25,30820400
16/05/22,3685.340088,3705.22998,3660.189941,3695.780029,25624100
17/05/22,3741.51001,3752.139893,3696.01001,3696.01001,29254100
18/05/22,3690.73999,3752.290039,3684.360107,3745.23999,27470800
19/05/22,3633.330078,3662.530029,3592.01001,3662.530029,32438400
20/05/22,3657.030029,3710.669922,3645.77002,3650.090088,37523800
